Comment,Designator,Footprint,LCSC,Quantity
10uf,C4,C_0805_2012Metric,,1
TXS0108EPW,U1,TSSOP-20_4.4x6.5mm_P0.65mm,,1
LED,D3,LED_0603_1608Metric,,1
LED,D4,LED_0603_1608Metric,,1
10uf,C5,C_0805_2012Metric,,1
LED,D1,LED_0603_1608Metric,,1
LT1963AxST-3.3,U3,SOT-223-3_TabPin2,,1
LED,D2,LED_0603_1608Metric,,1
10uf,C6,C_0805_2012Metric,,1
LT1963AxST-1.5,U2,SOT-223-3_TabPin2,,1
2k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
2k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
2k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1uf,C2,C_0805_2012Metric,,1
10uf,C3,C_0805_2012Metric,,1
2k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
3v3_io,J14,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,,1
0.1uf,C1,C_0805_2012Metric,,1
1v5_io,J1,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,,1
TestPoint,5V2,TestPoint_Pad_D1.0mm,,1
TestPoint,3V3,TestPoint_Pad_D1.0mm,,1
TestPoint,1V5,TestPoint_Pad_D1.0mm,,1
TestPoint,5V1,TestPoint_Pad_D1.0mm,,1
